company,website,category,score,subject,first_line,body,report_path,status
Air Masters of Tampa Bay,https://www.airmasters.net/,HVAC,20,quick AI-search snapshot for Air Masters of Tampa Bay,"I reviewed Air Masters of Tampa Bay's public website for HVAC service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Air Masters of Tampa Bay. It looks at whether AI-assisted buyers can quickly understand your HVAC services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/air-masters-of-tampa-bay-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/air-masters-of-tampa-bay-snapshot.md,needs_human_approval
Cool Today Tampa HVAC,https://www.cooltoday.com/tampa,HVAC,21,quick AI-search snapshot for Cool Today Tampa HVAC,"I reviewed Cool Today Tampa HVAC's public website for HVAC service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Cool Today Tampa HVAC. It looks at whether AI-assisted buyers can quickly understand your HVAC services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/cool-today-tampa-hvac-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/cool-today-tampa-hvac-snapshot.md,needs_human_approval
3H AC,https://3hac.com/,HVAC,18,quick AI-search snapshot for 3H AC,"I reviewed 3H AC's public website for HVAC service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for 3H AC. It looks at whether AI-assisted buyers can quickly understand your HVAC services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/3h-ac-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/3h-ac-snapshot.md,needs_human_approval
Varsity Zone Tampa HVAC,https://www.varsityzone.com/tampa-fl/,HVAC,17,quick AI-search snapshot for Varsity Zone Tampa HVAC,"I reviewed Varsity Zone Tampa HVAC's public website for HVAC service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Varsity Zone Tampa HVAC. It looks at whether AI-assisted buyers can quickly understand your HVAC services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/varsity-zone-tampa-hvac-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/varsity-zone-tampa-hvac-snapshot.md,needs_human_approval
Tampa Bay Air Conditioning,https://www.tampabayac.net/,HVAC,22,quick AI-search snapshot for Tampa Bay Air Conditioning,"I reviewed Tampa Bay Air Conditioning's public website for HVAC service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Tampa Bay Air Conditioning. It looks at whether AI-assisted buyers can quickly understand your HVAC services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/tampa-bay-air-conditioning-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/tampa-bay-air-conditioning-snapshot.md,needs_human_approval
McNatt Plumbing,https://mcnattplumbing.com/,Plumbing,15,quick AI-search snapshot for McNatt Plumbing,"I reviewed McNatt Plumbing's public website for Plumbing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for McNatt Plumbing. It looks at whether AI-assisted buyers can quickly understand your Plumbing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/mcnatt-plumbing-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/mcnatt-plumbing-snapshot.md,needs_human_approval
Olin Plumbing Tampa,https://www.plumberstampa.com/,Plumbing,18,quick AI-search snapshot for Olin Plumbing Tampa,"I reviewed Olin Plumbing Tampa's public website for Plumbing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Olin Plumbing Tampa. It looks at whether AI-assisted buyers can quickly understand your Plumbing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/olin-plumbing-tampa-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/olin-plumbing-tampa-snapshot.md,needs_human_approval
Cornerstone Plumbing,https://cornerstoneplumbingcompany.com/,Plumbing,20,quick AI-search snapshot for Cornerstone Plumbing,"I reviewed Cornerstone Plumbing's public website for Plumbing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Cornerstone Plumbing. It looks at whether AI-assisted buyers can quickly understand your Plumbing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/cornerstone-plumbing-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/cornerstone-plumbing-snapshot.md,needs_human_approval
Turbo Plumbing,https://turboplumbingtampa.com/,Plumbing,17,quick AI-search snapshot for Turbo Plumbing,"I reviewed Turbo Plumbing's public website for Plumbing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Turbo Plumbing. It looks at whether AI-assisted buyers can quickly understand your Plumbing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/turbo-plumbing-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/turbo-plumbing-snapshot.md,needs_human_approval
Bill Shields Roofing,https://www.billshieldsroofing.com/,Roofing,16,quick AI-search snapshot for Bill Shields Roofing,"I reviewed Bill Shields Roofing's public website for Roofing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Bill Shields Roofing. It looks at whether AI-assisted buyers can quickly understand your Roofing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/bill-shields-roofing-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/bill-shields-roofing-snapshot.md,needs_human_approval
Tampa Bay Roofing Services,https://tampabayroofing.com/,Roofing,17,quick AI-search snapshot for Tampa Bay Roofing Services,"I reviewed Tampa Bay Roofing Services's public website for Roofing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Tampa Bay Roofing Services. It looks at whether AI-assisted buyers can quickly understand your Roofing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/tampa-bay-roofing-services-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/tampa-bay-roofing-services-snapshot.md,needs_human_approval
West Florida Roofing,https://westroofingfl.com/,Roofing,15,quick AI-search snapshot for West Florida Roofing,"I reviewed West Florida Roofing's public website for Roofing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for West Florida Roofing. It looks at whether AI-assisted buyers can quickly understand your Roofing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/west-florida-roofing-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/west-florida-roofing-snapshot.md,needs_human_approval
Sutter Roofing Tampa,https://sutterroofing.com/tampa-location/,Roofing,14,quick AI-search snapshot for Sutter Roofing Tampa,"I reviewed Sutter Roofing Tampa's public website for Roofing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Sutter Roofing Tampa. It looks at whether AI-assisted buyers can quickly understand your Roofing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/sutter-roofing-tampa-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/sutter-roofing-tampa-snapshot.md,needs_human_approval
Southern Roofing Services,https://southernroofingcompany.com/,Roofing,12,quick AI-search snapshot for Southern Roofing Services,"I reviewed Southern Roofing Services's public website for Roofing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Southern Roofing Services. It looks at whether AI-assisted buyers can quickly understand your Roofing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/southern-roofing-services-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/southern-roofing-services-snapshot.md,needs_human_approval
Forest Air,https://www.forestairac.com/,HVAC,23,quick AI-search snapshot for Forest Air,"I reviewed Forest Air's public website for HVAC service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Forest Air. It looks at whether AI-assisted buyers can quickly understand your HVAC services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/forest-air-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/forest-air-snapshot.md,needs_human_approval
Phillips Air Conditioning & Heating,https://www.airphillips.com/,HVAC,20,quick AI-search snapshot for Phillips Air Conditioning & Heating,"I reviewed Phillips Air Conditioning & Heating's public website for HVAC service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Phillips Air Conditioning & Heating. It looks at whether AI-assisted buyers can quickly understand your HVAC services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/phillips-air-conditioning-heating-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/phillips-air-conditioning-heating-snapshot.md,needs_human_approval
Marlin James Air Conditioning & Heating,https://www.marlinjames.com/st-petersburg/,HVAC,19,quick AI-search snapshot for Marlin James Air Conditioning & Heating,"I reviewed Marlin James Air Conditioning & Heating's public website for HVAC service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Marlin James Air Conditioning & Heating. It looks at whether AI-assisted buyers can quickly understand your HVAC services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/marlin-james-air-conditioning-heating-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/marlin-james-air-conditioning-heating-snapshot.md,needs_human_approval
Kron & West,https://www.kronwest.com/,HVAC,22,quick AI-search snapshot for Kron & West,"I reviewed Kron & West's public website for HVAC service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Kron & West. It looks at whether AI-assisted buyers can quickly understand your HVAC services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/kron-west-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/kron-west-snapshot.md,needs_human_approval
Clearwater Plumbing,https://clearwaterplumbing.com/,Plumbing,15,quick AI-search snapshot for Clearwater Plumbing,"I reviewed Clearwater Plumbing's public website for Plumbing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Clearwater Plumbing. It looks at whether AI-assisted buyers can quickly understand your Plumbing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/clearwater-plumbing-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/clearwater-plumbing-snapshot.md,needs_human_approval
Clearwater Plumbing Co,https://clearwaterplumbingco.com/,Plumbing,17,quick AI-search snapshot for Clearwater Plumbing Co,"I reviewed Clearwater Plumbing Co's public website for Plumbing service clarity, local proof, FAQ readiness, and quote-path friction.","Hi,

I prepared a short public-website snapshot for Clearwater Plumbing Co. It looks at whether AI-assisted buyers can quickly understand your Plumbing services, service area, proof, FAQs, and quote/contact path.

No login was used and no forms were submitted. If useful, Brian can manually send the snapshot and the top fixes.

Report file: /root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/clearwater-plumbing-co-snapshot.md

— Revenue Rescue Desk",/root/ai-holding-company/businesses/ai-search-readiness-retrofit/reports/samples/clearwater-plumbing-co-snapshot.md,needs_human_approval
